Row.names	Phylum	Class	Order	Family	Genus	Species	Confidence	ASVnos
ebd9ba2ee9847de93cd46ff3c200e2da	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	 g__Sutterella	0.9999573	ASV2942
04aa2009e8fbedbc865fe9227373d743	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	 s__prausnitzii	0.9981893	ASV2943
e2a3a5595e3f59ef4d623764271e5fb4	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	1	ASV2944
b8b900541c61f65399c0ce4e130ee488	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	 s__celatum	0.8529398	ASV2945
a31900c1a9b6398f1b41158cce12bc95	Firmicutes	Clostridia	Clostridiales	Mogibacteriaceae	 f__Mogibacteriaceae	 f__Mogibacteriaceae	0.9999979	ASV2946
d96f2144e19767163bc0e8e2126cb919	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	 g__Oscillospira	0.9952598	ASV2947
81d932ad6c501067669b474d16337297	Tenericutes	Mollicutes	RF39	 o__RF39	 o__RF39	 o__RF39	1	ASV2948
4945d156f28468349a876a7dc39d5984	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	 g__Corynebacterium	0.9792592	ASV2949
c3d28d98850f5921cd9c16e2a3f1c138	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9890708	ASV295
29ad92f8371e2872aeac51bd2a41104a	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Hymenobacter	 g__Hymenobacter	1	ASV2950
154e93e3d309679d7b62f584dd198e51	Cyanobacteria	4C0d-2	YS2	 o__YS2	 o__YS2	 o__YS2	1	ASV2951
6d68b1673a14c0c606f3d326532a5088	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9998534	ASV2952
d4721a39e9786dc81d5f9afb32f54bf1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 g__Blautia	0.9444745	ASV2953
6f89e654fe8bcca85413ee47d2df57a1	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.8317857	ASV2954
5e09a27a04da9d9eaaf4f91949522bd5	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9856579	ASV2955
06cdfeb62ac50f3bdd94ca90a79dc187	Tenericutes	RF3	ML615J-28	 o__ML615J-28	 o__ML615J-28	 o__ML615J-28	0.9997357	ASV2956
4fe8372d17cab0647ac5686707c723c8	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 g__Blautia	0.9345531	ASV2957
e09026ff6af19e429d354d75a3efc1e7	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9999993	ASV2958
f8adc34dca8566122a92038834e51902	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9904536	ASV2959
a6b307b57a18ca60326fe3df9fd57698	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.8915943	ASV296
9ef236f88f3fdf997dbd53009afeeb2c	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	gut	 s__metagenome	0.982129	ASV2960
3298170380ad9fdaea18d120bcbd2ad2	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 g__Blautia	0.975894	ASV2961
86935a28a34bfee19b2c1b7695cd61d5	Tenericutes	Mollicutes	RF39	 o__RF39	 o__RF39	 o__RF39	1	ASV2962
50b479a4056b082d5976d5eaebdc684e	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9999676	ASV2963
1d544e462924ed7a69c9ff20eeb54d0d	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	 g__Dorea	0.996368	ASV2964
7f642b35488dbac968d4bfa8438af4ae	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9976961	ASV2965
4a037d80d179c005657619c782eaeb34	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9275967	ASV2966
