OTUs	Phylum	Class	Order	Family	Genus	Species	Confidence
dd2b92d60d58e33e2d20752c8e447b16	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae	unclassified_Lachnospiraceae	0.8878503
dd43910c9d3cdbb568c8bdb4f3e4a1cb	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae	0.9818517
dd528d22867f1f4fda2cbf3cf35c09df	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.8857146
dd56bc68fffcc45ac694ef22e91bd097	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae	0.9999871
dd63f3ec99aded9da593396eb1370d1d	Firmicutes	Bacilli	Turicibacterales	Turicibacteraceae	Turicibacter	unclassified_Turicibacter	0.9999991
dd6f04cf401c24a98693ef064bcdeefa	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9998913
dd8933d73b392841baa78d16b4a6056c	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae	unclassified_Lachnospiraceae	0.9684297
dd979d7175b347e965764244319d08cf	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified_Ruminococcus	0.9718173
ddb08c6753237a8ce9e9763f0c6212be	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9999741
ddb5de0e49c2c5903edea4192d9d0e50	Bacteroidetes	Bacteroidia	Bacteroidales	RF16	unclassified_RF16	unclassified_RF16	0.9999984
ddb8594bf3cb50913a85014bb8db1d08	Tenericutes	Mollicutes	RF39	unclassified_RF39	unclassified_RF39	unclassified_RF39	1
ddc448e81bf4a2728988557819d72c54	Tenericutes	Mollicutes	RF39	unclassified_RF39	unclassified_RF39	unclassified_RF39	1
ddc983e911d39f599a5dbfb136978dcd	Synergistetes	Synergistia	Synergistales	Synergistaceae	unclassified_Synergistaceae	unclassified_Synergistaceae	0.9999603
ddcd0833b4d521e160bd4f6f4a32b1ea	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae	0.9989592
dde0cc7c885f2e36690033ff220fc3c4	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	unclassified_Coriobacteriaceae	unclassified_Coriobacteriaceae	0.9859832
dde1780ee51c4365d8cac63fe086567f	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified_Ruminococcus	0.9748186
dde427ec2ef995ce6e8333290c250bd6	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae	0.9998347
de066e44f1a4fb986eb258320cc5a9ac	Tenericutes	Mollicutes	RF39	unclassified_RF39	unclassified_RF39	unclassified_RF39	0.9999997
de108405efd62baffae275506ff8243b	Cyanobacteria	4C0d-2	YS2	unclassified_YS2	unclassified_YS2	unclassified_YS2	1
de1a1b0598352b5b0f50b89f3c9c1925	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified_S24-7	unclassified_S24-7	0.9969384
de1e4c350369d32775f583930aa151cd	Firmicutes	Clostridia	Clostridiales	Mogibacteriaceae	unclassified_Mogibacteriaceae	unclassified_Mogibacteriaceae	0.9969025
de30eb9869652761e3cf60daa342193c	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9837203
de349cf6b54d9d5d2a32d51b4bd70d77	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae	0.9999672
de4325ecd9f7b5eb382bd4f7649ae798	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	unclassified_Enterococcus	0.817634
de465877dc651a154f71a1a2fc396e69	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	unclassified_Blautia	0.9999668
de5c317d1100d3920460d0c803c12c75	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	unclassified_Pseudomonadaceae	unclassified_Pseudomonadaceae	0.8775203
de784295e02aae8266fae6814391996b	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unclassified_Clostridium	0.8101322
de82342cb111c2c6e07b10cb67c11814	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae	unclassified_Lachnospiraceae	0.9528799
de85763a01fac738295b0778337e6812	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9415375
de8f7f33becf3a87282bd8a3ecfc1d32	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.7365897
de915e7344070206963ecebc27f8a144	Elusimicrobia	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Elusimicrobium	unclassified_Elusimicrobium	1
de939242de7553cb74516370b69277b4	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	unclassified_Parabacteroides	0.9999113
de9d3a458cc04f11467ecb74cce0f434	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	unclassified_Fibrobacter	1
deb53d327e760f20a1cf3ecb5f69b458	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified_Bacteroides	0.9333117
decfc52a9c029d201ffc3aa2681259d7	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9997888
defef47ee71b989e04482756195a65b4	Tenericutes	Mollicutes	RF39	unclassified_RF39	unclassified_RF39	unclassified_RF39	1
df0053cf84a814b1a8b811665506e79c	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae	unclassified_Lachnospiraceae	0.9104102
df005cde6440461a400c4ec4666615f9	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9990263
df08976d7d8d9cb2037c9713d019837e	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae	0.9723935
df0d8be2143483b57530dc4a18d0e2d9	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus flavefaciens	0.999994
df0ea2a085652ac6517ab58547190320	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9605066
df0fa3cc3e14eff9ddab738304a8f92f	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae	0.9861392
df28833523b84fa199afec489424e39d	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae	0.8773135
df29603377b3810c92034f580b51bbd2	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus	Ruminococcus gnavus	0.9998797
df2c26ad7a5676d2622fe820913e6d77	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	Arcobacter cryaerophilus	0.8355633
df519e81a116be12b664999f745a0489	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	unclassified_Erysipelotrichaceae	unclassified_Erysipelotrichaceae	0.9665981
df5c611a6a393d8f3faf1c9f74bc286c	Firmicutes	Clostridia	Clostridiales	Mogibacteriaceae	unclassified_Mogibacteriaceae	unclassified_Mogibacteriaceae	0.9966656
df61e9cba3f92e276b499b8b6ad011f6	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9998859
df678e54f4acb61cd3582dd59ed8071e	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	unclassified_Acinetobacter	0.8600624
df68822557a5284d2a3f2de42df105b1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	unclassified_Blautia	0.8044431
df6f74f6e65f714ffed5a3569144db70	Firmicutes	Clostridia	Clostridiales	Mogibacteriaceae	unclassified_Mogibacteriaceae	unclassified_Mogibacteriaceae	0.999953
df715d6aecdbbc68851536c572d833b3	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Shuttleworthia	unclassified_Shuttleworthia	0.999998
df74a665c27e99dc99ea2b749274da3c	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	unclassified_Sutterella	0.9984611
df7eb7f6b098bdef3ccf066a0a668684	Tenericutes	Mollicutes	RF39	unclassified_RF39	unclassified_RF39	unclassified_RF39	1
df7f91d3c85676a6f5840e14bb180fde	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9999999
df936eac34f6255fed0f77bbeeae60f9	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerofilum	unclassified_Anaerofilum	0.9790132
df9b4a176f04bfe7d2f0c1d50f398a05	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	unclassified_Blautia	0.7211369
dfa99a50af3aca7d97a8546f065a9cb9	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	unclassified_Coprococcus	0.9985198
dfbf5ccfda5b74ac465285463ffd728b	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified_S24-7	unclassified_S24-7	0.9999996
dfc78d8dd40c1dc05fdccc423add1a53	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9891657
dfcbb260752d24480150c9d79006e357	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9907886
dfd024a0c16fffc43a60704689c2cdf1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	unclassified_Roseburia	0.9321008
dfd63d96636efd176c8558908b7a266b	Firmicutes	Clostridia	Natranaerobiales	ML1228J-1	unclassified_ML1228J-1	unclassified_ML1228J-1	1
dfd6882a0c63b06969d151fa669bad78	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	unclassified_Erysipelotrichaceae	unclassified_Erysipelotrichaceae	0.9934108
dfd9a64a76132c676dc3199b639e5297	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae	0.9999753
dfdccec12ea59245d3f0d5ba292b8150	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified_Ruminococcus	0.8551402
dfdd30f64a4df86b7dd67bbc46db3e72	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia	unclassified_Facklamia	0.9999863
dfddc84962ba52ae95c5dfc2090fa372	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae	0.7015206
dfe6822638e2ceeee34c974600dd96e9	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9894924
dfea04c1773cd8137b9b0403ad7cdb91	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified_S24-7	unclassified_S24-7	0.9999999
e002618f9351c4af8d932536293603c3	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae	unclassified_Lachnospiraceae	0.8781464
e0084a9584469f8a656852d50591b0e1	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	unclassified_Oscillospira	0.7784392
