	10_d28	11_d28	12_d28	13_d28	14_d28	15_d28	16_d28	17_d28	18_d28	19_d28	2_d28	20_d28	21_d28	22_d28	23_d28	24_d28	25_d28	26_d28	28_d28	29_d28	3_d28	30_d28	4_d28	5_d28	6_d28	61_d28	62_d28	64_d28	65_d28	66_d28	67_d28	68_d28	69_d28	7_d28	70_d28	71_d28	72_d28	73_d28	74_d28	75_d28	76_d28	77_d28	78_d28	79_d28	8_d28	80_d28	81_d28	82_d28	84_d28	85_d28	86_d28	88_d28	89_d28	9_d28	90_d28
X20_d28	0.237245748	0.258445682	0.225960628	0.264935332	0.4354249	0.141745747	0.40236884	0.135469921	0.1713043	0.373369086	0.225361516	0	0.186700036	0.323068456	0.272344872	0.159070649	0.173774973	0.172809257	0.172168665	0.301585103	0.244836615	0.303065234	0.268416587	0.248657185	0.191069167	0.319407407	0.2508917	0.329840416	0.273390907	0.152993907	0.216398443	0.212328408	0.391290285	0.235206036	0.294634508	0.299724204	0.299249834	0.271500346	0.145421194	0.302123276	0.136545383	0.306286767	0.25570202	0.262811071	0.179078617	0.360010179	0.274598148	0.208688037	0.308672993	0.305912133	0.238377691	0.253460214	0.320180405	0.224161172	0.319952494
X21_d28	0.114427578	0.28190823	0.122942604	0.144694373	0.299817455	0.16306457	0.267580436	0.148837774	0.186605237	0.239898245	0.117292561	0.186700036	0	0.203709316	0.156774536	0.180202975	0.156154087	0.235166389	0.25365423	0.169663172	0.164699116	0.202207418	0.173424206	0.268211819	0.179682711	0.221229744	0.147494447	0.244483461	0.171617121	0.2093104	0.17079185	0.309910394	0.300311907	0.115502868	0.276004072	0.279989273	0.27576987	0.24705565	0.232770584	0.21657683	0.223219761	0.208695473	0.204272071	0.313433297	0.207035147	0.286335564	0.26905222	0.256238497	0.20900925	0.217606004	0.21140284	0.140555433	0.179801076	0.13413139	0.212621988
X22_d28	0.185081986	0.359023715	0.229237074	0.164737666	0.210548458	0.242791904	0.160281294	0.280534823	0.289740723	0.158093143	0.196116039	0.323068456	0.203709316	0	0.163556388	0.275720255	0.231232981	0.346641982	0.31117659	0.144513742	0.237136274	0.146474543	0.203050752	0.338528461	0.271747763	0.165991566	0.211337318	0.223359913	0.180293434	0.29498508	0.211137747	0.416937701	0.210782663	0.223371308	0.352294871	0.363997351	0.356515032	0.286564289	0.324872189	0.265278359	0.352267201	0.201070314	0.286258939	0.394254534	0.302667411	0.221342691	0.328395611	0.353643756	0.186978443	0.284119412	0.288752879	0.197275308	0.146073819	0.20275658	0.213379133
X23_d28	0.138098907	0.310222362	0.158713136	0.121304866	0.228690029	0.247966566	0.208098338	0.231646456	0.240035791	0.172894431	0.15199187	0.272344872	0.156774536	0.163556388	0	0.21871702	0.216486278	0.312347295	0.320612845	0.145156667	0.155913536	0.153129719	0.202802869	0.304271709	0.229633763	0.22403917	0.170126273	0.239432056	0.185340913	0.29429683	0.228619804	0.36977642	0.266686018	0.145385767	0.302573327	0.284097476	0.308536687	0.312769885	0.270733168	0.246677816	0.303660531	0.194144334	0.270376851	0.370756863	0.251311554	0.288998664	0.330513886	0.340889844	0.185697901	0.265795323	0.244099137	0.160284856	0.130002826	0.176496307	0.202388873
X24_d28	0.192320151	0.153253852	0.197525025	0.246894917	0.392775903	0.167298877	0.337727076	0.112514791	0.181780912	0.327632305	0.153875784	0.159070649	0.180202975	0.275720255	0.21871702	0	0.153098705	0.163410604	0.173291265	0.254257831	0.251150048	0.283803656	0.24150637	0.221059069	0.188089383	0.321394712	0.226884989	0.344938844	0.25495983	0.174854269	0.200930079	0.206294213	0.383653771	0.225593231	0.25966995	0.266250395	0.2513784	0.301738999	0.133777081	0.259925823	0.193471605	0.296069953	0.23972298	0.288277538	0.113187717	0.372939103	0.237952418	0.231382461	0.30732165	0.302714792	0.208502278	0.227621643	0.254311984	0.191790466	0.298119951
X25_d28	0.158473483	0.207219834	0.155465272	0.206366292	0.355749831	0.127748368	0.315790678	0.153776719	0.159070097	0.278933679	0.137356551	0.173774973	0.156154087	0.231232981	0.216486278	0.153098705	0	0.214459163	0.209156875	0.219656997	0.210938571	0.259721689	0.223632691	0.232929791	0.162617972	0.299985688	0.225129611	0.314443547	0.245060312	0.174282995	0.191431806	0.307713769	0.343639015	0.177977429	0.282542028	0.289414748	0.281034781	0.260685229	0.222564563	0.271608581	0.232141107	0.261768621	0.252245958	0.296256698	0.162738516	0.327908448	0.278710457	0.256033766	0.275728164	0.279828891	0.231263244	0.226835907	0.264270308	0.219871207	0.288201485
X26_d28	0.281564844	0.228601158	0.225103638	0.272991042	0.447248668	0.195000219	0.406835645	0.207563306	0.175007733	0.378524288	0.241978067	0.172809257	0.235166389	0.346641982	0.312347295	0.163410604	0.214459163	0	0.160664952	0.295387713	0.332603464	0.361453067	0.338749905	0.307514784	0.261802504	0.380704273	0.306497795	0.418480192	0.336907646	0.19064814	0.286820878	0.218292858	0.464913771	0.297154517	0.355205117	0.358400547	0.358616111	0.372405886	0.16765329	0.359183243	0.196429997	0.378749248	0.316871871	0.353463431	0.163344274	0.440728899	0.328346399	0.28849733	0.378017181	0.38544867	0.307587906	0.295440609	0.360273632	0.292288928	0.37095698
X28_d28	0.259975416	0.207651929	0.25766119	0.271117602	0.44453612	0.151457667	0.403103704	0.204792218	0.195520589	0.375000192	0.25611691	0.172168665	0.25365423	0.31117659	0.320612845	0.173291265	0.209156875	0.160664952	0	0.287894987	0.332669031	0.344985851	0.307878037	0.282806213	0.255595372	0.366185573	0.301432574	0.409240779	0.327160635	0.166987546	0.268500265	0.23207037	0.421015625	0.310420011	0.344427154	0.345028626	0.3439433	0.318300637	0.148419682	0.347674559	0.195281224	0.354936987	0.298887007	0.331718882	0.190002305	0.388826832	0.311066819	0.265547328	0.380040376	0.373710748	0.282674987	0.303054753	0.357301785	0.285010094	0.368653973
X29_d28	0.155481852	0.315056957	0.172913277	0.11163071	0.208842593	0.226720825	0.175730179	0.253963387	0.222426925	0.136133414	0.18341418	0.301585103	0.169663172	0.144513742	0.145156667	0.254257831	0.219656997	0.295387713	0.287894987	0	0.206355176	0.110220406	0.216813997	0.30796719	0.272065916	0.204496427	0.176664869	0.247366491	0.191126304	0.275328932	0.231260171	0.391223813	0.246421577	0.165790038	0.341241299	0.342586137	0.349153861	0.291056802	0.306310894	0.256138683	0.310712759	0.1916193	0.279210571	0.40247135	0.266639362	0.271865947	0.318213044	0.353834505	0.17922814	0.271751728	0.262244869	0.174223557	0.164236545	0.189162336	0.192718222
X3_d28	0.152775931	0.333501493	0.157648726	0.172269243	0.304505397	0.234723364	0.273709583	0.230560673	0.245006263	0.231328385	0.174071112	0.244836615	0.164699116	0.237136274	0.155913536	0.251150048	0.210938571	0.332603464	0.332669031	0.206355176	0	0.162285623	0.152101837	0.248154265	0.157107044	0.263263643	0.14104206	0.201754855	0.196535474	0.278038093	0.185560116	0.334557951	0.256757689	0.12329643	0.268820992	0.249026144	0.27233214	0.247562863	0.308876023	0.203350268	0.230305699	0.166350047	0.230789737	0.301738551	0.260267534	0.249075071	0.287446195	0.270584893	0.187780852	0.202974944	0.204519226	0.206038042	0.204132851	0.170747032	0.17887839
X30_d28	0.183746868	0.367872498	0.237657786	0.165098529	0.230613189	0.265347009	0.201320189	0.265713731	0.289148935	0.150169165	0.221348267	0.303065234	0.202207418	0.146474543	0.153129719	0.283803656	0.259721689	0.361453067	0.344985851	0.110220406	0.162285623	0	0.177248176	0.280205541	0.234455921	0.195553154	0.142393268	0.193008054	0.160448183	0.324424914	0.187399054	0.371153297	0.184956086	0.193401258	0.296500434	0.303698237	0.308967409	0.254346523	0.337411202	0.215037263	0.284279039	0.145620771	0.238672701	0.354656643	0.323448115	0.222060927	0.283798847	0.326821954	0.146671279	0.231229885	0.223105608	0.215850961	0.156514828	0.170659847	0.140789278
X4_d28	0.165205832	0.322766949	0.224236657	0.209584356	0.322602039	0.232078987	0.288289413	0.223248176	0.28625575	0.258963909	0.170172326	0.268416587	0.173424206	0.203050752	0.202802869	0.24150637	0.223632691	0.338749905	0.307878037	0.216813997	0.152101837	0.177248176	0	0.20914709	0.144277603	0.263634069	0.135247724	0.182717388	0.176752076	0.289331605	0.1196124	0.309307514	0.19220374	0.203026562	0.203214496	0.216632734	0.206336489	0.171378178	0.284605415	0.124986507	0.218701345	0.12963574	0.137016067	0.246949468	0.289838709	0.181405731	0.185438096	0.212823976	0.220401137	0.154021591	0.145213639	0.208134777	0.200360546	0.141085958	0.145162747
X5_d28	0.257244122	0.287290026	0.288600583	0.331564977	0.433316782	0.251707925	0.392330309	0.218819047	0.26328861	0.368591639	0.246630073	0.248657185	0.268211819	0.338528461	0.304271709	0.221059069	0.232929791	0.307514784	0.282806213	0.30796719	0.248154265	0.280205541	0.20914709	0	0.180899553	0.390874397	0.266883387	0.317995788	0.290783159	0.292780693	0.206144791	0.252535469	0.310923962	0.292414476	0.247293652	0.25504346	0.235579863	0.237148278	0.267560917	0.219913662	0.203877395	0.231758438	0.229145327	0.255389209	0.284704091	0.333125913	0.231062961	0.234722176	0.346604429	0.277004454	0.197906875	0.336069128	0.324702519	0.238234783	0.257206813
X6_d28	0.188292138	0.263822947	0.205962454	0.246900839	0.384100522	0.184268361	0.343926369	0.165338232	0.240187065	0.316991173	0.17051269	0.191069167	0.179682711	0.271747763	0.229633763	0.188089383	0.162617972	0.261802504	0.255595372	0.272065916	0.157107044	0.234455921	0.144277603	0.180899553	0	0.306503475	0.171202849	0.242549433	0.222118524	0.225839746	0.124921239	0.247133507	0.295766685	0.21003528	0.186695591	0.199587973	0.209502853	0.20495995	0.223883268	0.200344682	0.164438513	0.214682606	0.167488694	0.211427647	0.212203924	0.26284465	0.192594645	0.17289295	0.258452123	0.224677431	0.138127085	0.223037499	0.252181749	0.185636447	0.234509341
X61_d28	0.236943068	0.410075005	0.28342735	0.202069121	0.268915001	0.289420942	0.188711234	0.301892623	0.337989756	0.210197998	0.268956074	0.319407407	0.221229744	0.165991566	0.22403917	0.321394712	0.299985688	0.380704273	0.366185573	0.204496427	0.263263643	0.195553154	0.263634069	0.390874397	0.306503475	0	0.225906704	0.205319428	0.210033761	0.335104587	0.247354413	0.431544931	0.257324428	0.237991656	0.36784888	0.384805555	0.395900582	0.31080058	0.345645051	0.308385981	0.33001142	0.242378214	0.298576075	0.396170193	0.35069824	0.199327139	0.351600668	0.359828291	0.182851656	0.286696935	0.292122049	0.207117284	0.191520787	0.259254834	0.243088008
X62_d28	0.144301791	0.320431627	0.187151783	0.156441299	0.310342957	0.217024735	0.266911004	0.222570392	0.266212454	0.217640487	0.176465726	0.2508917	0.147494447	0.211337318	0.170126273	0.226884989	0.225129611	0.306497795	0.301432574	0.176664869	0.14104206	0.142393268	0.135247724	0.266883387	0.171202849	0.225906704	0	0.19756153	0.154943681	0.27353467	0.136828653	0.325376158	0.24489266	0.165336641	0.243748482	0.242810845	0.261417858	0.222258284	0.270018629	0.183268202	0.215904813	0.174009897	0.178093007	0.300971983	0.259886663	0.232437024	0.225678236	0.250518589	0.168546498	0.1980169	0.161168783	0.170510627	0.194784776	0.149272675	0.166490811
X64_d28	0.262518171	0.427392108	0.295877569	0.245666288	0.309661052	0.320258219	0.271106111	0.325049679	0.364541038	0.260500025	0.28343588	0.329840416	0.244483461	0.223359913	0.239432056	0.344938844	0.314443547	0.418480192	0.409240779	0.247366491	0.201754855	0.193008054	0.182717388	0.317995788	0.242549433	0.205319428	0.19756153	0	0.19333429	0.348191354	0.213173884	0.412088906	0.198152641	0.241149519	0.281174535	0.310214635	0.317128115	0.231154547	0.394790854	0.201134921	0.279154383	0.154554013	0.238220704	0.294095418	0.364161151	0.156604097	0.285588641	0.285470763	0.143856782	0.183175964	0.225280735	0.211512982	0.212493328	0.251433853	0.176237451
