	10_d28	11_d28	12_d28	13_d28	14_d28	15_d28	16_d28	17_d28	18_d28	19_d28	2_d28	20_d28	21_d28	22_d28	23_d28	24_d28	25_d28	26_d28	28_d28	29_d28	3_d28	30_d28	4_d28	5_d28	6_d28	61_d28	62_d28	64_d28	65_d28	66_d28	67_d28	68_d28	69_d28	7_d28	70_d28	71_d28	72_d28	73_d28	74_d28	75_d28	76_d28	77_d28	78_d28	79_d28	8_d28	80_d28	81_d28	82_d28	84_d28	85_d28	86_d28	88_d28	89_d28	9_d28	90_d28
X75_d28	0.220165665	0.339933737	0.260080745	0.277553542	0.362729269	0.270738617	0.336196315	0.238199058	0.312359279	0.308596	0.201541274	0.302123276	0.21657683	0.265278359	0.246677816	0.259925823	0.271608581	0.359183243	0.347674559	0.256138683	0.203350268	0.215037263	0.124986507	0.219913662	0.200344682	0.308385981	0.183268202	0.201134921	0.207426239	0.316243462	0.150362617	0.303110611	0.247724986	0.248105293	0.192153705	0.209677757	0.187277212	0.184698935	0.285620879	0	0.233942173	0.173086661	0.14403324	0.267478476	0.329178055	0.247510998	0.18815005	0.240887287	0.240891263	0.199761988	0.135172607	0.242289372	0.224593009	0.15033538	0.158313104
X76_d28	0.265830266	0.276391272	0.259884568	0.280797378	0.451989391	0.182748519	0.405797315	0.170432212	0.223262423	0.376890621	0.256508848	0.136545383	0.223219761	0.352267201	0.303660531	0.193471605	0.232141107	0.196429997	0.195281224	0.310712759	0.230305699	0.284279039	0.218701345	0.203877395	0.164438513	0.33001142	0.215904813	0.279154383	0.273702407	0.182657943	0.180921665	0.183105968	0.340543282	0.275132349	0.219022621	0.233760954	0.239525941	0.225083521	0.166671601	0.233942173	0	0.257170448	0.179575568	0.21963864	0.224886541	0.306481126	0.204057475	0.143836235	0.309795453	0.25744926	0.151546764	0.27805242	0.334637691	0.226860951	0.261934346
X77_d28	0.197367137	0.388680947	0.263772704	0.196695895	0.287402136	0.278827971	0.273960444	0.278198659	0.30339263	0.225181664	0.220767622	0.306286767	0.208695473	0.201070314	0.194144334	0.296069953	0.261768621	0.378749248	0.354936987	0.1916193	0.166350047	0.145620771	0.12963574	0.231758438	0.214682606	0.242378214	0.174009897	0.154554013	0.154927456	0.33494961	0.171105849	0.361400389	0.147402658	0.210661018	0.263884638	0.276543067	0.254623929	0.186373685	0.348420813	0.173086661	0.257170448	0	0.193032469	0.27762677	0.343576965	0.173961828	0.245333507	0.265413898	0.191119187	0.16077631	0.190599788	0.213501407	0.167888123	0.194706703	0.103494415
X78_d28	0.242214674	0.323960746	0.258152149	0.268608479	0.40002792	0.240187944	0.368496537	0.199307663	0.29315897	0.334511861	0.210878509	0.25570202	0.204272071	0.286258939	0.270376851	0.23972298	0.252245958	0.316871871	0.298887007	0.279210571	0.230789737	0.238672701	0.137016067	0.229145327	0.167488694	0.298576075	0.178093007	0.238220704	0.219328142	0.289033126	0.118998402	0.267272448	0.245748206	0.265695015	0.145807037	0.158526173	0.147485031	0.162898094	0.248397504	0.14403324	0.179575568	0.193032469	0	0.205290494	0.287645045	0.226546399	0.124489579	0.154172371	0.272059793	0.172784022	0.097984695	0.23430018	0.258025562	0.172277115	0.181767914
X79_d28	0.327908749	0.363558961	0.348936919	0.383142092	0.498149465	0.304136686	0.476729449	0.278723988	0.34247386	0.445218243	0.298772477	0.262811071	0.313433297	0.394254534	0.370756863	0.288277538	0.296256698	0.353463431	0.331718882	0.40247135	0.301738551	0.354656643	0.246949468	0.255389209	0.211427647	0.396170193	0.300971983	0.294095418	0.306644928	0.318090596	0.238096411	0.316248027	0.326548216	0.354767115	0.163610956	0.188083538	0.173773636	0.221895463	0.302656884	0.267478476	0.21963864	0.27762677	0.205290494	0	0.302555178	0.296056528	0.19106184	0.151575163	0.376590016	0.202521519	0.223174065	0.333733492	0.365768161	0.302818326	0.301022665
X8_d28	0.222971174	0.170211974	0.153569779	0.237356703	0.397407489	0.187358631	0.348028843	0.168088791	0.152758793	0.340702443	0.172591561	0.179078617	0.207035147	0.302667411	0.251311554	0.113187717	0.162738516	0.163344274	0.190002305	0.266639362	0.260267534	0.323448115	0.289838709	0.284704091	0.212203924	0.35069824	0.259886663	0.364161151	0.305104754	0.161077993	0.246338919	0.272131851	0.435700154	0.213523824	0.309836286	0.31242927	0.321473815	0.343678812	0.189175774	0.329178055	0.224886541	0.343576965	0.287645045	0.302555178	0	0.406223023	0.299115765	0.253988543	0.326188061	0.34836036	0.270019844	0.258072999	0.310608203	0.255451692	0.351058981
X80_d28	0.281376643	0.448772097	0.353179178	0.278427046	0.364507954	0.327116922	0.294902849	0.348731378	0.402336026	0.30576443	0.312690857	0.360010179	0.286335564	0.221342691	0.288998664	0.372939103	0.327908448	0.440728899	0.388826832	0.271865947	0.249075071	0.222060927	0.181405731	0.333125913	0.26284465	0.199327139	0.232437024	0.156604097	0.230753475	0.378899399	0.214153971	0.41484052	0.190928863	0.297735478	0.279801406	0.299942329	0.311160326	0.208680341	0.397928238	0.247510998	0.306481126	0.173961828	0.226546399	0.296056528	0.406223023	0	0.261317648	0.260265342	0.214614137	0.198630372	0.247806072	0.2752726	0.263978293	0.270456729	0.183322921
X81_d28	0.292679971	0.298674525	0.313485195	0.324708321	0.449821374	0.256353634	0.412856363	0.221155395	0.311227931	0.382345002	0.259318605	0.274598148	0.26905222	0.328395611	0.330513886	0.237952418	0.278710457	0.328346399	0.311066819	0.318213044	0.287446195	0.283798847	0.185438096	0.231062961	0.192594645	0.351600668	0.225678236	0.285588641	0.274154415	0.304433098	0.175928584	0.243002664	0.282908717	0.322720182	0.111366032	0.120703939	0.127279895	0.218357274	0.243084591	0.18815005	0.204057475	0.245333507	0.124489579	0.19106184	0.299115765	0.261317648	0	0.141853196	0.327260808	0.191304016	0.122205668	0.301124111	0.315542403	0.205973259	0.232062318
X82_d28	0.297964252	0.317647957	0.29510665	0.331914247	0.480804604	0.226168662	0.444122132	0.219777635	0.284293336	0.418073885	0.284403436	0.208688037	0.256238497	0.353643756	0.340889844	0.231382461	0.256033766	0.28849733	0.265547328	0.353834505	0.270584893	0.326821954	0.212823976	0.234722176	0.17289295	0.359828291	0.250518589	0.285470763	0.285620147	0.234775731	0.195382144	0.255519327	0.305728869	0.308441154	0.158090625	0.187602178	0.186964807	0.211073635	0.240851609	0.240887287	0.143836235	0.265413898	0.154172371	0.151575163	0.253988543	0.260265342	0.141853196	0	0.332111636	0.200363421	0.171126409	0.291224241	0.346051734	0.245678034	0.265188227
X84_d28	0.2188373	0.391116624	0.249007779	0.193128927	0.274902744	0.276856095	0.220663136	0.289085667	0.309165465	0.203603577	0.237418793	0.308672993	0.20900925	0.186978443	0.185697901	0.30732165	0.275728164	0.378017181	0.380040376	0.17922814	0.187780852	0.146671279	0.220401137	0.346604429	0.258452123	0.182851656	0.168546498	0.143856782	0.192587831	0.309046468	0.230646443	0.429650011	0.240705927	0.189089945	0.334017177	0.355175595	0.351522404	0.296579955	0.368159469	0.240891263	0.309795453	0.191119187	0.272059793	0.376590016	0.326188061	0.214614137	0.327260808	0.332111636	0	0.250997115	0.266576943	0.19602498	0.176744903	0.240553775	0.194636484
X85_d28	0.230508176	0.395088702	0.287879762	0.26561765	0.371641983	0.287457277	0.355695759	0.283142535	0.330961342	0.316730453	0.244083457	0.305912133	0.217606004	0.284119412	0.265795323	0.302714792	0.279828891	0.38544867	0.373710748	0.271751728	0.202974944	0.231229885	0.154021591	0.277004454	0.224677431	0.286696935	0.1980169	0.183175964	0.180581732	0.337776977	0.186584925	0.370670869	0.190990019	0.239384742	0.176769094	0.197630528	0.187942125	0.187624536	0.36100637	0.199761988	0.25744926	0.16077631	0.172784022	0.202521519	0.34836036	0.198630372	0.191304016	0.200363421	0.250997115	0	0.192121514	0.219523521	0.242298108	0.212049261	0.169525064
X86_d28	0.224998488	0.282919029	0.239973213	0.256576706	0.380767035	0.225447495	0.342965499	0.181620812	0.282250521	0.315295694	0.202534365	0.238377691	0.21140284	0.288752879	0.244099137	0.208502278	0.231263244	0.307587906	0.282674987	0.262244869	0.204519226	0.223105608	0.145213639	0.197906875	0.138127085	0.292122049	0.161168783	0.225280735	0.220784075	0.274061545	0.124582123	0.235881683	0.273436182	0.242966835	0.128812267	0.138824886	0.15388642	0.174508767	0.21497727	0.135172607	0.151546764	0.190599788	0.097984695	0.223174065	0.270019844	0.247806072	0.122205668	0.171126409	0.266576943	0.192121514	0	0.223169924	0.252592299	0.159146542	0.192721105
X88_d28	0.163567158	0.31860025	0.177650041	0.147222794	0.281042955	0.217888264	0.253230638	0.21621964	0.255593348	0.228513877	0.164795138	0.253460214	0.140555433	0.197275308	0.160284856	0.227621643	0.226835907	0.295440609	0.303054753	0.174223557	0.206038042	0.215850961	0.208134777	0.336069128	0.223037499	0.207117284	0.170510627	0.211512982	0.157309087	0.254504982	0.215351253	0.367219816	0.292085648	0.168886819	0.302540574	0.316025799	0.31841367	0.262399886	0.270762826	0.242289372	0.27805242	0.213501407	0.23430018	0.333733492	0.258072999	0.2752726	0.301124111	0.291224241	0.19602498	0.219523521	0.223169924	0	0.141442818	0.181705319	0.225541429
X89_d28	0.174589458	0.351904	0.228286407	0.168281569	0.208302423	0.280281329	0.20699279	0.244497124	0.300015029	0.175628572	0.178517415	0.320180405	0.179801076	0.146073819	0.130002826	0.254311984	0.264270308	0.360273632	0.357301785	0.164236545	0.204132851	0.156514828	0.200360546	0.324702519	0.252181749	0.191520787	0.194784776	0.212493328	0.152790282	0.327519565	0.22709621	0.394506118	0.213866334	0.194893804	0.292515246	0.310998106	0.314018158	0.291184022	0.304784342	0.224593009	0.334637691	0.167888123	0.258025562	0.365768161	0.310608203	0.263978293	0.315542403	0.346051734	0.176744903	0.242298108	0.252592299	0.141442818	0	0.172792271	0.195624654
X9_d28	0.160013622	0.288902674	0.181806242	0.197546843	0.304703005	0.210501706	0.291098814	0.156954761	0.235124495	0.266376697	0.148405445	0.224161172	0.13413139	0.20275658	0.176496307	0.191790466	0.219871207	0.292288928	0.285010094	0.189162336	0.170747032	0.170659847	0.141085958	0.238234783	0.185636447	0.259254834	0.149272675	0.251433853	0.169864856	0.255629666	0.143711251	0.263466076	0.259998508	0.186083476	0.213683878	0.221206138	0.218317432	0.217771647	0.229579333	0.15033538	0.226860951	0.194706703	0.172277115	0.302818326	0.255451692	0.270456729	0.205973259	0.245678034	0.240553775	0.212049261	0.159146542	0.181705319	0.172792271	0	0.187342567
X90_d28	0.20799235	0.404143505	0.275317507	0.222760176	0.307215026	0.284070854	0.288358001	0.281765354	0.310167755	0.241687744	0.237956974	0.319952494	0.212621988	0.213379133	0.202388873	0.298119951	0.288201485	0.37095698	0.368653973	0.192718222	0.17887839	0.140789278	0.145162747	0.257206813	0.234509341	0.243088008	0.166490811	0.176237451	0.183480188	0.346410906	0.179270277	0.362947015	0.173639087	0.214538636	0.251875577	0.27188163	0.241162523	0.19659358	0.356540221	0.158313104	0.261934346	0.103494415	0.181767914	0.301022665	0.351058981	0.183322921	0.232062318	0.265188227	0.194636484	0.169525064	0.192721105	0.225541429	0.195624654	0.187342567	0
