ASVs	treatment	node	degree	Row.names	Phylum	Class	Order	Family	Genus	Species	Confidence
ASV772	SCFP	2	6	9a4d96e60e5710450a531edd5461feb0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	 g__Oscillospira	0.9862766
ASV783	SCFP	2	1	30ee41fb91efab01e381c766ed62bedd	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9965794
ASV85	SCFP	2	1	1b7966c00916f61abe6acbd9e867229e	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9999993
ASV939	SCFP	2	5	5e47b6a5167d80f1a117afbdeb9f22a1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.9356951
ASV97	SCFP	2	12	a01df12ff649c57e98e202f2e9b3a6b8	Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	YRC22	 g__YRC22	1
ASV107	SCFP	3	2	94b871bb353c6998320a525afbd8121d	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__copri	0.9999988
ASV125	SCFP	3	3	32841cdd2fd93d81b214ab3b35601bea	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	 s__celatum	0.8636488
ASV128	SCFP	3	2	a76218164da97820e49b4d41bd74dcbf	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__copri	0.9999988
ASV138	SCFP	3	2	afb60c2345950cf814db46d2cc621508	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__copri	0.9999926
ASV439	SCFP	3	2	4955b50a592f9096063c4a94c5570ba0	Firmicutes	Bacilli	Turicibacterales	Turicibacteraceae	Turicibacter	 g__Turicibacter	0.9999986
ASV548	SCFP	3	2	97cbae66dfcbcfbbab6b26aeaabe4977	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	 f__Peptostreptococcaceae	 f__Peptostreptococcaceae	0.8256386
ASV550	SCFP	3	1	c4db0ebacfa0deb243174a860fc138e9	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	 f__Peptostreptococcaceae	 f__Peptostreptococcaceae	0.737808
ASV152	SCFP	4	1	47504daed5bdb48a5f5163c2584dab90	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 g__Blautia	0.9816392
ASV161	SCFP	4	1	5cbc4d4286e17e0439e52165e6572fab	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__copri	0.9999955
ASV264	SCFP	4	1	74d65d9822679b851fbcec847eed91f2	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__copri	0.9999845
ASV273	SCFP	4	1	032d4bdea41b55aa455224f44e9e2699	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__stercorea	0.9999999
ASV399	SCFP	4	1	8144a465580d730fa885496eed550c3e	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 g__Bacteroides	0.9999987
ASV441	SCFP	4	1	3ae2090e557432155e69d0ef5ede407f	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	 g__Oscillospira	0.9997992
ASV8	SCFP	4	1	f7693fa078df727c4e2568797b4e26a3	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	 g__Methanosphaera	0.9999997
