Phylum	Class	Order	Family	Genus	Species	Confidence	ASVs
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9249705	d8bd801fe87dea19461d5e4cd0a91967
Tenericutes	Mollicutes	RF39	 o__RF39	 o__RF39	 o__RF39	0.9999965	a926de07be4869fdc499b610e401372f
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9932212	c03c79837f012623b7b9f1e7a521a65b
	 p__	 p__	 p__	 p__	 p__	0.7724564	8d010c81d23f23c59cf04d047c7c61cd
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.7298677	d011c2b468aca66209aba4fd2c7218cc
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	 g__Methanobrevibacter	0.9999257	44e2e82283cc01be87339941587d3089
Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	 g__Bulleidia	0.9999998	51a5c0f9a933aff80878fc4d10d81258
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium	 s__aldenense	0.8318501	fa320b5c8acfde7b0d0d1901c353ab64
Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	 f__Intrasporangiaceae	 f__Intrasporangiaceae	0.7628306	e1b74ed5b1f7b9047800a072860dc00f
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.8002012	7a81ade30f72b1d9bf241a406ad7a3f7
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9853933	d092d92d960226cd6e056c57b17f4625
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.8986946	abb8f34caf9505876accb6f8c4d14696
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.8319085	508165a6aea65c88b058251806b5d3f0
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9921919	7ceff59ba9d325d33b25267669cd3338
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.8246254	1fd0324658d9b8fbe662aeb16cf5d631
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.9230981	b63075f24114ea9e9b9b4902b99f28b1
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9976137	f9790d7165acef8d79e440122e6e317c
k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	1	a0ab9679286734e39945b17407e1b364
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.7884663	fd0061e93cef0e1da70f10f0aac46f87
Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	 f__S24-7	 f__S24-7	0.9999955	b46cd9ba455f7058b34b11c92267adf6
Actinobacteria	Actinobacteria	Actinomycetales	Nocardiopsaceae	Nocardiopsis	 g__Nocardiopsis	0.8492757	60810295bd4f24438afcdc03b9f40a36
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9999759	4ac3d0291bb23dd02ce77613ac8e273e
Bacteroidetes	Bacteroidia	Bacteroidales	 o__Bacteroidales	 o__Bacteroidales	 o__Bacteroidales	1	35c5db1a057c817a9d83246251da5ac9
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9882238	db35bf9f97c5a706b84c23a09574ea96
Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	 f__S24-7	 f__S24-7	1	df31d7856498207c8686adbb3016a1e4
Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	 g__Fibrobacter	0.9999987	32eea8e410f30baa09af515fa8240219
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.7302839	774aaf1a1726053024a253cf20eea810
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.7218186	3118ec95b40eb176fbd53c58a721c24b
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9999896	a5792243623273eb0755098ada53f473
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9339024	f18d48bba9611017296f3e2b3a94a285
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.8790081	32b19b9a125542de624873cd9ac99b21
