	1_d0	10_d0	11_d0	12_d0	13_d0	14_d0	15_d0	16_d0	18_d0	2_d0	20_d0	21_d0	24_d0	25_d0	26_d0	29_d0	3_d0	4_d0	5_d0	6_d0	61_d0	62_d0	63_d0	64_d0	65_d0	66_d0	67_d0	68_d0	69_d0	70_d0	71_d0	72_d0	73_d0	74_d0	75_d0	76_d0	77_d0	78_d0	79_d0	8_d0	80_d0	81_d0	82_d0	83_d0	84_d0	85_d0	86_d0	87_d0	88_d0	89_d0	9_d0	90_d0
X20_d0	0.331375804	0.319029693	0.139213169	0.288347032	0.41155504	0.3828547	0.449051258	0.303274736	0.181384556	0.260291426	0	0.405718123	0.391890429	0.337778644	0.27613052	0.285233456	0.26741597	0.383435839	0.263677344	0.426467953	0.438982123	0.5060231	0.412994282	0.490892324	0.410293969	0.259275495	0.258272151	0.414368541	0.409635628	0.200112459	0.274170195	0.3577337	0.283932289	0.360900067	0.355932657	0.42833741	0.377879279	0.267079048	0.502777303	0.446768481	0.125364489	0.430111644	0.368457591	0.287594681	0.407490117	0.14633929	0.241959751	0.190389974	0.311296261	0.325345462	0.435746195	0.456177294
X21_d0	0.334143956	0.376938707	0.366930619	0.416077399	0.454341183	0.409179422	0.472464542	0.35095428	0.365666471	0.33063676	0.405718123	0	0.241741617	0.33260097	0.339840408	0.429798262	0.358710951	0.301741271	0.349868638	0.347755271	0.473207157	0.483599907	0.464616122	0.454486174	0.451816745	0.388989572	0.386150658	0.474772823	0.419261247	0.393959555	0.327258	0.341388621	0.355432918	0.407911765	0.412884269	0.39531874	0.379617506	0.361289684	0.474516848	0.223589264	0.30982308	0.420919366	0.390934107	0.326716277	0.437056208	0.374717262	0.362566989	0.3926799	0.37831294	0.346222154	0.200461752	0.448558538
X24_d0	0.245512662	0.294703349	0.34984106	0.286806119	0.270555692	0.246958297	0.361013897	0.233685031	0.330130383	0.259617399	0.391890429	0.241741617	0	0.249685308	0.25872071	0.363069353	0.24971161	0.248073026	0.244612309	0.185990397	0.385935765	0.410573115	0.339137104	0.391236746	0.358871369	0.334096426	0.351615777	0.364315773	0.303266375	0.341265568	0.259183221	0.212808326	0.242888699	0.272178364	0.283299877	0.211288225	0.200093682	0.302191334	0.389972377	0.267436134	0.310437588	0.275295443	0.294863883	0.226683882	0.329130662	0.275353801	0.267952796	0.380093201	0.241779947	0.206636035	0.267733951	0.328206564
X25_d0	0.379212472	0.37583491	0.29487111	0.25853802	0.33068239	0.339283127	0.283313795	0.211654939	0.227036695	0.372079575	0.337778644	0.33260097	0.249685308	0	0.211790718	0.22907783	0.327611151	0.299653216	0.335818447	0.265282356	0.34153266	0.425668054	0.294949058	0.407331042	0.269954363	0.210574348	0.203299347	0.277070587	0.306969108	0.266036944	0.301338306	0.317401886	0.338319456	0.270220229	0.228129825	0.376961702	0.324903244	0.357197582	0.42343646	0.378927184	0.257526236	0.35113298	0.252132358	0.329330966	0.322906355	0.389891271	0.27832706	0.257479221	0.257741156	0.325701561	0.40867984	0.347125799
X26_d0	0.339354396	0.333416882	0.25157419	0.269347526	0.324311978	0.310210113	0.330695194	0.224771387	0.196775709	0.314731345	0.27613052	0.339840408	0.25872071	0.211790718	0	0.247741433	0.295502044	0.298450129	0.294848624	0.285539051	0.339695697	0.38827286	0.29039216	0.365956998	0.303251078	0.240260535	0.244636097	0.301376928	0.288910182	0.275804666	0.274679535	0.2853061	0.273444203	0.246383923	0.219935153	0.324173727	0.268083584	0.308923652	0.365292987	0.341837179	0.247564461	0.301455435	0.243023316	0.255655407	0.256449987	0.32631255	0.247242669	0.261606832	0.145989002	0.252403642	0.365882542	0.286610524
X29_d0	0.343238886	0.336427698	0.252902218	0.187537329	0.34505496	0.326510161	0.313724662	0.190618606	0.177374069	0.350486639	0.285233456	0.429798262	0.363069353	0.22907783	0.247741433	0	0.297032463	0.299442465	0.29707563	0.381562286	0.381662337	0.47067383	0.313811508	0.455659295	0.275598294	0.108267848	0.106515242	0.310183141	0.339272228	0.229305758	0.349454788	0.370808274	0.315185998	0.29616792	0.245115417	0.392788794	0.340298294	0.305420466	0.470009539	0.39946832	0.330692966	0.393671258	0.305709836	0.326857132	0.36979297	0.356667576	0.220480128	0.132791542	0.262897005	0.30963603	0.415844192	0.414109188
X3_d0	0.119845807	0.113548686	0.222092565	0.145984567	0.264677675	0.182990752	0.398873292	0.208186946	0.234746196	0.184519545	0.26741597	0.358710951	0.24971161	0.327611151	0.295502044	0.297032463	0	0.217395651	0.047930902	0.27780487	0.406786354	0.470264644	0.366074894	0.456099323	0.367588647	0.23903374	0.247647024	0.392087288	0.34977913	0.233683609	0.237353366	0.251192427	0.083797308	0.291810424	0.310783543	0.246788147	0.249541257	0.116899343	0.440967609	0.285786455	0.293997959	0.332673628	0.347810228	0.179441305	0.373918041	0.191612698	0.120267505	0.25180607	0.225925247	0.182226578	0.288406321	0.410452459
X4_d0	0.243498885	0.259738273	0.327322853	0.199259686	0.284494355	0.245992712	0.392773963	0.210676079	0.288229774	0.336603642	0.383435839	0.301741271	0.248073026	0.299653216	0.298450129	0.299442465	0.217395651	0	0.219182276	0.284421283	0.408622124	0.482074031	0.3662251	0.469127027	0.359377151	0.283118109	0.298633149	0.382179673	0.35891244	0.337898984	0.347291773	0.336446887	0.252015522	0.306421323	0.312187336	0.280179449	0.302213549	0.257874341	0.481146943	0.136550443	0.380337351	0.365044476	0.351708221	0.296938387	0.388043755	0.341947064	0.227952298	0.33435184	0.245290459	0.269408539	0.189543819	0.428427243
X5_d0	0.109627163	0.104365567	0.21747925	0.154903663	0.269661967	0.174868367	0.406234927	0.210128437	0.233848682	0.175057685	0.263677344	0.349868638	0.244612309	0.335818447	0.294848624	0.29707563	0.047930902	0.219182276	0	0.281813348	0.422830398	0.478894477	0.37543169	0.461929196	0.379921519	0.24871157	0.258954516	0.400762699	0.357237769	0.241034415	0.23319748	0.2492919	0.077766621	0.303891577	0.321765103	0.244015817	0.25366161	0.111233035	0.448846017	0.289041784	0.286158164	0.332084985	0.356655128	0.177675431	0.381773196	0.178740618	0.126136457	0.25809157	0.224731829	0.170991831	0.288553577	0.408987159
X6_d0	0.29801411	0.328131543	0.395467006	0.315950872	0.231531949	0.263211625	0.280462549	0.25983347	0.350095115	0.349372572	0.426467953	0.347755271	0.185990397	0.265282356	0.285539051	0.381562286	0.27780487	0.284421283	0.281813348	0	0.315543795	0.328380057	0.30991221	0.320843075	0.291664779	0.365904768	0.376402542	0.280998158	0.254535248	0.37076496	0.273727035	0.21358802	0.288933959	0.217360332	0.253122808	0.201398012	0.208787329	0.330337673	0.314797592	0.327776053	0.34088758	0.218730505	0.250465424	0.275260021	0.247774975	0.340812047	0.318185399	0.414468673	0.270847967	0.278903003	0.354952979	0.248698847
X61_d0	0.461756781	0.47740713	0.404037565	0.409996791	0.222960268	0.430418585	0.18425514	0.359693035	0.369198943	0.479145404	0.438982123	0.473207157	0.385935765	0.34153266	0.339695697	0.381662337	0.406786354	0.408622124	0.422830398	0.315543795	0	0.187612102	0.315632225	0.223799063	0.204844175	0.376525143	0.36269152	0.148961674	0.183114661	0.357439119	0.342666843	0.329567527	0.422896122	0.23466951	0.285077035	0.358601855	0.287850255	0.454262544	0.226701746	0.481636161	0.440856706	0.209645892	0.254075202	0.344934283	0.193961117	0.474501142	0.389476771	0.406636636	0.365403479	0.41484444	0.492230139	0.295330215
X62_d0	0.491878765	0.516043077	0.488348924	0.500109382	0.307522492	0.458164213	0.269903129	0.432243486	0.451916197	0.503644515	0.5060231	0.483599907	0.410573115	0.425668054	0.38827286	0.47067383	0.470264644	0.482074031	0.478894477	0.328380057	0.187612102	0	0.332896483	0.147494338	0.255492428	0.472748679	0.459654914	0.247029811	0.219234573	0.410127294	0.349748124	0.296086769	0.469157651	0.291955711	0.360201431	0.379166979	0.310088803	0.474924486	0.233355164	0.509717397	0.475092717	0.257930572	0.255914024	0.383526765	0.187331219	0.501930941	0.480462906	0.49624154	0.434262661	0.44506223	0.526104327	0.308993104
X63_d0	0.411667952	0.430771762	0.379412254	0.343159627	0.339540343	0.388255673	0.308907498	0.277250379	0.289099817	0.43402718	0.412994282	0.464616122	0.339137104	0.294949058	0.29039216	0.313811508	0.366074894	0.3662251	0.37543169	0.30991221	0.315632225	0.332896483	0	0.326899783	0.229998786	0.309505456	0.29835309	0.27611062	0.237605328	0.280200249	0.312314891	0.278026563	0.379791379	0.258218217	0.146702844	0.354510816	0.274299921	0.38512283	0.387696583	0.449902196	0.410723981	0.360579171	0.230854176	0.308458413	0.243330093	0.42737844	0.325281854	0.336973901	0.314959677	0.360442953	0.473021186	0.319991675
