	10_d56	11_d56	12_d56	13_d56	14_d56	15_d56	16_d56	17_d56	18_d56	19_d56	2_d56	20_d56	21_d56	23_d56	24_d56	26_d56	27_d56	28_d56	29_d56	3_d56	30_d56	4_d56	5_d56	6_d56	61_d56	62_d56	64_d56	65_d56	66_d56	67_d56	68_d56	7_d56	70_d56	71_d56	72_d56	73_d56	74_d56	75_d56	76_d56	77_d56	78_d56	79_d56	8_d56	80_d56	81_d56	82_d56	83_d56	84_d56	85_d56	86_d56	88_d56	89_d56	9_d56	90_d56
X2_d56	0.181895608	0.167285621	0.187842427	0.14983081	0.15701062	0.142038028	0.120782565	0.377022908	0.177514667	0.214887962	0	0.106815756	0.137775521	0.159408318	0.158786415	0.141265476	0.173245974	0.184872752	0.182961735	0.160348009	0.130065596	0.1162778	0.163799485	0.137568767	0.241170847	0.218139563	0.257277241	0.25333648	0.249164653	0.22048539	0.217621854	0.198293227	0.321981531	0.165147939	0.153284721	0.435048833	0.254055761	0.311177448	0.169001431	0.173592651	0.169585012	0.193891621	0.160758856	0.232582177	0.184954566	0.17384553	0.186468556	0.18399567	0.264800525	0.481180452	0.282488688	0.201042677	0.100888591	0.269986301
X20_d56	0.190728014	0.154440799	0.202562914	0.142124256	0.146849557	0.140734171	0.128160873	0.403184531	0.148397979	0.22910266	0.106815756	0	0.127083295	0.17475345	0.136252118	0.117281879	0.115273107	0.160291054	0.21106869	0.144910993	0.127910635	0.104544599	0.165168504	0.130922686	0.203821358	0.207929521	0.242677279	0.244706285	0.226120703	0.189517619	0.18766764	0.190486239	0.292994085	0.140590203	0.119474446	0.451088655	0.232950465	0.313884063	0.165666092	0.165183572	0.192571522	0.172946667	0.14065546	0.21178325	0.176016818	0.157363492	0.16266651	0.151990647	0.228302961	0.475163079	0.244020827	0.153793124	0.101748899	0.262298254
X21_d56	0.194809095	0.158859815	0.186170538	0.1502341	0.12968929	0.157593922	0.14034876	0.429686613	0.162193968	0.235590926	0.137775521	0.127083295	0	0.179210178	0.13544916	0.140193385	0.167146687	0.149998653	0.210348144	0.147501994	0.163196757	0.156577504	0.185848883	0.124435733	0.190601447	0.22627939	0.254688899	0.205522593	0.247153727	0.169741822	0.162882999	0.204033296	0.297976901	0.151738482	0.144757837	0.455645882	0.233369721	0.331448537	0.204032959	0.162843263	0.18138146	0.188794123	0.149314747	0.201306162	0.191122499	0.14425104	0.184761835	0.138690218	0.216594962	0.485778124	0.261721345	0.141593442	0.15301737	0.272691492
X23_d56	0.275658971	0.16327662	0.152872822	0.15437758	0.167410825	0.21034754	0.143689734	0.453544728	0.162387896	0.30543447	0.159408318	0.17475345	0.179210178	0	0.194306443	0.174217845	0.224266658	0.210193565	0.192890645	0.217995869	0.214803245	0.197356819	0.256017102	0.14917291	0.304167208	0.303127118	0.295452364	0.202461562	0.336312937	0.243109157	0.182522712	0.279321109	0.412044739	0.22263675	0.218938878	0.511926581	0.34096372	0.40417434	0.26304362	0.208697609	0.11482218	0.246149216	0.204191541	0.31215254	0.259721415	0.242846907	0.264940771	0.233463161	0.309139108	0.563741632	0.362816788	0.171579393	0.179686698	0.369911663
X24_d56	0.226635724	0.162783954	0.196066946	0.132503754	0.151241459	0.137751601	0.139577558	0.431142301	0.13683275	0.168824401	0.158786415	0.136252118	0.13544916	0.194306443	0	0.1439788	0.127264824	0.099264425	0.195267791	0.095490994	0.145482195	0.131249279	0.129375167	0.109767683	0.168162257	0.172889055	0.26481227	0.216259349	0.239266747	0.119708965	0.184346525	0.133416636	0.261345868	0.123221215	0.145213308	0.457998998	0.220857518	0.282093262	0.189183779	0.157857298	0.195859421	0.169280185	0.103212251	0.20326434	0.139092078	0.151959816	0.149289704	0.128151614	0.200215393	0.446606609	0.228455968	0.170162074	0.144698899	0.240835832
X26_d56	0.24259631	0.157394614	0.181846244	0.099789787	0.143973949	0.140255717	0.119650642	0.409801827	0.129098413	0.222628508	0.141265476	0.117281879	0.140193385	0.174217845	0.1439788	0	0.132310805	0.164761475	0.173991311	0.141723426	0.15258839	0.114750562	0.184312635	0.122457853	0.217628832	0.230773338	0.245161815	0.202305394	0.216012374	0.192898027	0.197356483	0.200791843	0.299134839	0.16494859	0.147203369	0.449932565	0.255171238	0.328269697	0.21108304	0.113150826	0.178258763	0.181709439	0.125336901	0.241913634	0.204813287	0.157397635	0.198699737	0.176264128	0.240051322	0.465788978	0.276367	0.166687612	0.14231468	0.291580592
X27_d56	0.22489871	0.181805069	0.243190148	0.165227525	0.199345147	0.164157423	0.157664008	0.409456766	0.156653666	0.208904052	0.173245974	0.115273107	0.167146687	0.224266658	0.127264824	0.132310805	0	0.160376254	0.228858411	0.123943897	0.159404607	0.133441526	0.173550265	0.165450128	0.165556605	0.195141007	0.264887776	0.283312473	0.226279313	0.165981905	0.225335975	0.162455612	0.260677023	0.138671741	0.151419102	0.470834601	0.205751946	0.299402675	0.180150457	0.182269686	0.23776043	0.153392655	0.123402721	0.20642557	0.149623446	0.17358232	0.163252608	0.134911746	0.205790484	0.45213438	0.230703979	0.194759787	0.143191199	0.259021656
X28_d56	0.227588633	0.158344541	0.211456609	0.170528957	0.156346885	0.168662238	0.16658273	0.437669934	0.152560339	0.175609512	0.184872752	0.160291054	0.149998653	0.210193565	0.099264425	0.164761475	0.160376254	0	0.243259766	0.095420633	0.175811908	0.157065226	0.161893105	0.10894188	0.167337124	0.179442036	0.300799309	0.23022054	0.263078059	0.115724462	0.196954193	0.158520402	0.259465162	0.121764421	0.177283738	0.475821597	0.195709239	0.270540826	0.22261606	0.204646042	0.206984142	0.206990415	0.120888108	0.205741692	0.166314337	0.189425123	0.150806946	0.160809984	0.200939769	0.435824711	0.229113138	0.171210673	0.179120973	0.225846822
X29_d56	0.300099112	0.213475287	0.208557557	0.16263602	0.199890302	0.20279091	0.147502667	0.426277817	0.211349048	0.281960315	0.182961735	0.21106869	0.210348144	0.192890645	0.195267791	0.173991311	0.228858411	0.243259766	0	0.217923439	0.172018843	0.188869827	0.241756559	0.196396017	0.292574124	0.288571277	0.316765928	0.248374689	0.311522693	0.238006498	0.254884227	0.255581517	0.393369091	0.235564746	0.231085458	0.498944215	0.340324323	0.398437511	0.243966161	0.162454233	0.176369844	0.243641195	0.192128773	0.312967492	0.267393223	0.219190389	0.268406234	0.239064022	0.298626629	0.553233633	0.351445649	0.242299955	0.176129937	0.368998482
X3_d56	0.238325718	0.164931971	0.209927748	0.153579487	0.164875954	0.148279071	0.147936934	0.435949751	0.148954351	0.159610266	0.160348009	0.144910993	0.147501994	0.217995869	0.095490994	0.141723426	0.123943897	0.095420633	0.217923439	0	0.147050318	0.125438283	0.159302765	0.115739197	0.162350592	0.166736988	0.2868051	0.245242838	0.239452066	0.115712223	0.205139137	0.132097446	0.257650418	0.096930383	0.16380136	0.474498376	0.196786421	0.269874937	0.199223232	0.181324332	0.211457563	0.171723884	0.098516875	0.192687642	0.145867863	0.174654195	0.13229846	0.146480172	0.18486034	0.43820792	0.220935715	0.18926092	0.155162981	0.23104452
