	10_d84	11_d84	12_d84	13_d84	14_d84	15_d84	16_d84	17_d84	18_d84	19_d84	2_d84	20_d84	21_d84	23_d84	24_d84	26_d84	27_d84	28_d84	29_d84	3_d84	30_d84	4_d84	5_d84	6_d84	61_d84	62_d84	64_d84	65_d84	66_d84	68_d84	7_d84	70_d84	71_d84	72_d84	73_d84	74_d84	75_d84	76_d84	77_d84	78_d84	79_d84	8_d84	80_d84	81_d84	83_d84	84_d84	85_d84	86_d84	88_d84	89_d84	9_d84	90_d84
X66_d84	0.165335791	0.249915753	0.217724649	0.177541773	0.165785829	0.171791217	0.332870062	0.194297204	0.237577154	0.289771251	0.23622727	0.230848514	0.188509398	0.198170959	0.221733506	0.253338242	0.193220452	0.308092813	0.301181741	0.258447686	0.349514264	0.243825458	0.221238647	0.278981788	0.137331593	0.14427411	0.211790967	0.17183313	0	0.199882591	0.193827149	0.089102823	0.110373795	0.103827187	0.173967823	0.253327593	0.152113927	0.124352519	0.144931816	0.149207324	0.14334772	0.2400168	0.191009416	0.12360182	0.19454831	0.086187251	0.155912168	0.237264815	0.191568098	0.11168446	0.252503936	0.145810323
X68_d84	0.157763574	0.169392186	0.12252112	0.173343051	0.131756498	0.178884042	0.225472461	0.169824633	0.1655922	0.209756144	0.152312128	0.13133643	0.164968033	0.148171842	0.118944158	0.156241839	0.174189985	0.205308482	0.184620965	0.180198776	0.253661869	0.150108341	0.16097008	0.171511292	0.154645138	0.204839542	0.335153157	0.202724403	0.199882591	0	0.149645707	0.210189142	0.231396163	0.233592543	0.169747008	0.195956513	0.209322537	0.23968583	0.183006636	0.192278692	0.27631288	0.142834788	0.172833702	0.180161923	0.142965888	0.189727756	0.155606506	0.223580552	0.153789182	0.212028722	0.16252901	0.258711967
X7_d84	0.171201111	0.131039701	0.118991887	0.180012233	0.129853904	0.174930839	0.200297148	0.185261672	0.17327577	0.128387628	0.144547341	0.155058083	0.174223797	0.110643409	0.162738799	0.141562483	0.194242212	0.176328772	0.170773917	0.202876545	0.21384926	0.14451196	0.159431486	0.159147492	0.162798658	0.215063618	0.31619059	0.222825755	0.193827149	0.149645707	0	0.201454064	0.213328754	0.208267082	0.195085147	0.21045151	0.227839767	0.202535343	0.191804213	0.182212135	0.267178573	0.160984936	0.220016157	0.182983183	0.186468836	0.169041091	0.171938623	0.217850505	0.2052854	0.185774266	0.187604178	0.237200928
X70_d84	0.170096337	0.265852106	0.226205997	0.178626723	0.193003156	0.15857715	0.346695307	0.200931255	0.263891299	0.303318162	0.246986005	0.239563831	0.216152529	0.210866607	0.216288584	0.259811603	0.199509482	0.310140318	0.314964864	0.273506162	0.361771752	0.254386174	0.216171155	0.273837492	0.1464635	0.135677487	0.173773929	0.162756216	0.089102823	0.210189142	0.201454064	0	0.090710855	0.081400258	0.173311836	0.250240913	0.148898172	0.102404811	0.128580936	0.11485873	0.109544274	0.251554459	0.179627277	0.10395619	0.17457764	0.114147982	0.168533264	0.245838805	0.189196322	0.118759579	0.251125591	0.141588537
X71_d84	0.16869904	0.264065217	0.232610245	0.188433852	0.191102122	0.159260682	0.339714259	0.207188777	0.261610335	0.308126464	0.260113432	0.258800856	0.2251513	0.221650856	0.234256807	0.270803285	0.209835904	0.310605896	0.323480521	0.267647328	0.373400481	0.260880878	0.233382043	0.293064491	0.154826129	0.126663812	0.191589811	0.14942414	0.110373795	0.231396163	0.213328754	0.090710855	0	0.088198298	0.166636411	0.25464469	0.15982257	0.11176502	0.128584406	0.109540081	0.123091989	0.266437344	0.176296327	0.118331964	0.193600548	0.119473783	0.175273722	0.240912915	0.187206843	0.124872191	0.268699208	0.138817979
X72_d84	0.173642742	0.264405779	0.233445497	0.188566273	0.195985727	0.16812827	0.345917733	0.207676002	0.272593265	0.304666759	0.257126944	0.25769984	0.233923245	0.21006267	0.231810098	0.257435981	0.194819764	0.30782642	0.326311845	0.290544574	0.370427675	0.260374003	0.223414313	0.289359958	0.154565896	0.110861859	0.171606556	0.155113073	0.103827187	0.233592543	0.208267082	0.081400258	0.088198298	0	0.181287194	0.264382717	0.140412472	0.075432327	0.127193462	0.111063455	0.103407673	0.259256611	0.186471464	0.106135294	0.190390733	0.115122435	0.170921589	0.242430149	0.189633838	0.124821615	0.262659732	0.126057062
X73_d84	0.1267899	0.186496165	0.156034572	0.158374067	0.143695431	0.163536103	0.243383873	0.122683486	0.170834201	0.271048782	0.182006171	0.183131642	0.168022961	0.200647383	0.159928659	0.184030602	0.117046992	0.219164195	0.250196107	0.196038447	0.300882416	0.220312584	0.152338882	0.191921185	0.136167306	0.138318527	0.292134905	0.173559833	0.173967823	0.169747008	0.195085147	0.173311836	0.166636411	0.181287194	0	0.182409028	0.143518871	0.177559663	0.125121143	0.138641091	0.231994668	0.172189337	0.127627965	0.115459804	0.114301031	0.1507343	0.149122109	0.196242682	0.121302644	0.141348151	0.180938914	0.186043653
X74_d84	0.198163425	0.206519821	0.161090535	0.224523977	0.195741429	0.220622752	0.237025968	0.199413473	0.1802288	0.270801687	0.203456087	0.151970733	0.152709308	0.249344115	0.167284867	0.228444838	0.209228889	0.231059783	0.22539156	0.169911396	0.286049092	0.229868251	0.208425125	0.175742578	0.184608061	0.225451618	0.370480741	0.248352837	0.253327593	0.195956513	0.21045151	0.250240913	0.25464469	0.264382717	0.182409028	0	0.215778581	0.255739041	0.206248195	0.222431424	0.311409421	0.172028757	0.198017163	0.193620616	0.173028478	0.209184449	0.183945901	0.199484437	0.209508959	0.214947562	0.168851612	0.257400502
X75_d84	0.132024229	0.216703476	0.191109209	0.159361491	0.176433933	0.161860972	0.30097237	0.163562238	0.207217209	0.299655352	0.210981033	0.217491086	0.188166645	0.235468312	0.195733783	0.23425138	0.150352373	0.26694274	0.297205306	0.221099268	0.339780173	0.249689191	0.189753445	0.249932254	0.131820218	0.105539303	0.238294904	0.136590977	0.152113927	0.209322537	0.227839767	0.148898172	0.15982257	0.140412472	0.143518871	0.215778581	0	0.126264813	0.092746079	0.113007365	0.203835389	0.212243885	0.130996142	0.096952393	0.159430063	0.143004042	0.11067293	0.194283228	0.156586692	0.107800797	0.214831078	0.146426887
X76_d84	0.175639392	0.251591383	0.228106099	0.185107538	0.200809196	0.160064095	0.339080143	0.202049749	0.26375902	0.298683761	0.25098187	0.25851149	0.223602854	0.213172088	0.225504767	0.255020608	0.191437928	0.303741757	0.317376787	0.280116574	0.365376883	0.257891749	0.212713793	0.283919939	0.149637847	0.10046431	0.171040409	0.147112388	0.124352519	0.23968583	0.202535343	0.102404811	0.11176502	0.075432327	0.177559663	0.255739041	0.126264813	0	0.118678903	0.115303325	0.130871131	0.253022894	0.176815697	0.102134462	0.192649292	0.109178346	0.158524655	0.233027882	0.191384526	0.102149381	0.255684271	0.104503077
X77_d84	0.119364574	0.208178913	0.183807929	0.146766588	0.160625752	0.133848045	0.297912349	0.16696844	0.212082138	0.26352209	0.207217297	0.208033012	0.184007919	0.197614286	0.182707974	0.22455247	0.139117904	0.256993269	0.271395098	0.218393536	0.322364358	0.214935315	0.183061429	0.242080435	0.093982483	0.098674028	0.228018135	0.125550647	0.144931816	0.183006636	0.191804213	0.128580936	0.128584406	0.127193462	0.125121143	0.206248195	0.092746079	0.118678903	0	0.083194695	0.184420868	0.212875173	0.126407414	0.066765178	0.128372299	0.126150238	0.095775517	0.160828327	0.132875238	0.09907936	0.203633243	0.146252995
X78_d84	0.132280021	0.227005516	0.197205832	0.157273544	0.172844033	0.124811132	0.310794138	0.174997868	0.225525834	0.276851372	0.218947431	0.222765038	0.214689931	0.185623989	0.19104069	0.228475212	0.170810022	0.272402623	0.288475892	0.23684972	0.340009709	0.228098638	0.188381356	0.248804605	0.117270327	0.125273576	0.219816639	0.12945142	0.149207324	0.192278692	0.182212135	0.11485873	0.109540081	0.111063455	0.138641091	0.222431424	0.113007365	0.115303325	0.083194695	0	0.172458413	0.223543924	0.136430511	0.085824855	0.138855698	0.141552679	0.135566838	0.205506488	0.155986293	0.114036836	0.227865545	0.145292509
X79_d84	0.235143449	0.331739979	0.295185465	0.24154276	0.250001774	0.213102222	0.415690602	0.270970908	0.333045148	0.36326363	0.31668741	0.304967283	0.280227659	0.266361567	0.294054667	0.328029366	0.261210067	0.377539426	0.375419826	0.33668857	0.419549508	0.320048022	0.29023426	0.351297562	0.199045485	0.160948524	0.158595567	0.167117359	0.14334772	0.27631288	0.267178573	0.109544274	0.123091989	0.103407673	0.231994668	0.311409421	0.203835389	0.130871131	0.184420868	0.172458413	0	0.323081639	0.228515731	0.158990969	0.23890081	0.170305426	0.230958262	0.28828164	0.232268452	0.172747969	0.32437909	0.165453084
X8_d84	0.151809621	0.121043464	0.098120907	0.164437464	0.145098917	0.188504474	0.190236714	0.136972009	0.100804934	0.21436561	0.126331109	0.120591684	0.146383692	0.195227844	0.124373374	0.148451549	0.151021045	0.153512281	0.182716606	0.16023239	0.219252531	0.185520933	0.12349727	0.11522573	0.202147225	0.234510421	0.363129918	0.257606289	0.2400168	0.142834788	0.160984936	0.251554459	0.266437344	0.259256611	0.172189337	0.172028757	0.212243885	0.253022894	0.212875173	0.223543924	0.323081639	0	0.193345604	0.201796629	0.156743669	0.220448127	0.168082002	0.232632778	0.203038179	0.246419843	0.120063241	0.290766457
