Row.names,pred,d,treatment,id
X26_d28,1.010416667,1,SCFP,26
X26_d56,1.883072917,2,SCFP,26
X26_d84,3.123958333,3,SCFP,26
X27_d112,3.96875,4,SCFP,27
X27_d28,2.514583333,1,SCFP,27
X27_d56,1.740885417,2,SCFP,27
X27_d84,3.134895833,3,SCFP,27
X28_d112,3.872526042,4,SCFP,28
X28_d28,1.280598958,1,SCFP,28
X28_d56,2.01171875,2,SCFP,28
X28_d84,2.926041667,3,SCFP,28
X3_d112,3.916145833,4,SCFP,3
X3_d28,1.164973958,1,SCFP,3
X3_d56,2.046875,2,SCFP,3
X3_d84,3.082682292,3,SCFP,3
X30_d112,3.687630208,4,SCFP,30
X30_d28,1.051953125,1,SCFP,30
X30_d56,1.994791667,2,SCFP,30
X30_d84,2.884765625,3,SCFP,30
X62_d112,3.91171875,4,SCFP,62
X62_d28,1.087109375,1,SCFP,62
X62_d56,1.970703125,2,SCFP,62
X62_d84,3.195963542,3,SCFP,62
X65_d112,3.699348958,4,SCFP,65
X65_d28,1.303385417,1,SCFP,65
X65_d56,1.48984375,2,SCFP,65
X65_d84,2.97578125,3,SCFP,65
X69_d28,1.135546875,1,SCFP,69
X71_d112,3.677734375,4,SCFP,71
X71_d28,1.107942708,1,SCFP,71
X71_d56,2.065755208,2,SCFP,71
X71_d84,3.364322917,3,SCFP,71
X73_d112,3.54296875,4,SCFP,73
X73_d28,1.230598958,1,SCFP,73
X73_d56,1.440755208,2,SCFP,73
X73_d84,3.080989583,3,SCFP,73
X74_d112,3.947526042,4,SCFP,74
X74_d28,1.01171875,1,SCFP,74
X74_d56,1.982942708,2,SCFP,74
X74_d84,3.276692708,3,SCFP,74
X75_d112,3.847135417,4,SCFP,75
X75_d28,1.120703125,1,SCFP,75
X75_d56,1.878125,2,SCFP,75
X75_d84,3.166276042,3,SCFP,75
X76_d112,3.774088542,4,SCFP,76
X76_d28,1.02578125,1,SCFP,76
X76_d56,1.704557292,2,SCFP,76
X76_d84,3.265625,3,SCFP,76
X77_d112,3.799348958,4,SCFP,77
X77_d28,1.771354167,1,SCFP,77
X77_d56,2.032291667,2,SCFP,77
X77_d84,3.514583333,3,SCFP,77
X78_d112,3.692447917,4,SCFP,78
X78_d28,1.108854167,1,SCFP,78
X78_d56,2.37890625,2,SCFP,78
X78_d84,3.128255208,3,SCFP,78
X8_d112,3.325520833,4,SCFP,8
X8_d28,1,1,SCFP,8
X8_d56,1.861979167,2,SCFP,8
X8_d84,3.089453125,3,SCFP,8
X81_d112,3.747395833,4,SCFP,81
X81_d28,1.071744792,1,SCFP,81
X81_d56,1.577994792,2,SCFP,81
X81_d84,3.238932292,3,SCFP,81
X82_d28,1.244010417,1,SCFP,82
X82_d56,1.942447917,2,SCFP,82
X83_d112,3.614322917,4,SCFP,83
X83_d56,2.140625,2,SCFP,83
X83_d84,2.946744792,3,SCFP,83
X84_d112,3.853255208,4,SCFP,84
X84_d28,1.56171875,1,SCFP,84
X84_d56,2.01953125,2,SCFP,84
X84_d84,3.570833333,3,SCFP,84
X85_d112,3.407682292,4,SCFP,85
X85_d28,1.138151042,1,SCFP,85
X85_d56,2.083072917,2,SCFP,85
X85_d84,3.461197917,3,SCFP,85
X9_d112,3.779557292,4,SCFP,9
X9_d28,1.242447917,1,SCFP,9
X9_d56,1.993229167,2,SCFP,9
X9_d84,3.271744792,3,SCFP,9
